objectname,objectid,rating,own,prevowned,wanttoplay,wishlist,wishlistpriority,average,avgweight,rank,minplayers,maxplayers,maxplaytime,minplaytime,yearpublished,itemtype
221B Baker Street: The Master Detective Game,1275,3,0,1,0,0,1,6.00688,1.7885,5911,2,6,90,90,1975,standalone
5-Minute Marvel,253618,0,0,0,0,1,3,6.73206,1.1375,2279,2,5,5,5,2018,standalone
5-Minute Mystery,294514,4,0,1,0,0,1,6.96446,1.1633,2061,1,6,30,5,2020,standalone
50 Clues: Escape the Blast Zone,369337,0,0,0,1,0,3,5.50741,1.5,25697,1,5,20,20,2022,standalone
51st State: Master Set,192458,0,0,0,0,0,3,7.53537,2.893,484,1,4,90,60,2016,standalone
7 Wonders,68448,5,0,0,0,0,3,7.66267,2.3144,117,2,7,30,30,2010,standalone
7 Wonders Dice,446231,6,0,0,0,0,3,6.41892,2.1212,4163,2,7,30,25,2025,standalone
7 Wonders Duel,173346,7,1,0,0,0,1,8.07726,2.2273,24,2,2,30,30,2015,standalone
The 7th Citadel,286063,0,1,0,0,0,1,8.32342,2.9529,742,1,4,1000,5,2024,standalone
The 7th Continent,180263,7,1,0,0,0,2,7.73032,2.8969,163,1,4,1000,5,2017,standalone
The 7th Continent: Classic Edition,283317,7,0,1,0,0,1,7.43805,3.1846,1761,1,4,1000,5,2019,standalone
"The 7th Continent: What Goes Up, Must Come Down",236206,0,1,0,0,0,1,8.23161,3.0526,0,1,4,1000,5,2019,expansion
Above and Below,172818,6,0,1,0,0,1,7.34106,2.5151,423,2,4,90,90,2015,standalone
Above and Below: Expanded Edition Exclusives,175452,0,0,1,0,0,3,7.68088,2.7143,0,2,4,120,90,2015,expansion
Acquire,5,7.5,1,0,0,0,1,7.35655,2.4888,361,2,6,90,90,1963,standalone
Adrift: A Puzzletale,364276,8,1,0,0,0,1,7.74105,2.9,8406,1,4,180,90,2022,standalone
Adventure Games: Monochrome Inc.,267814,6,0,1,0,0,1,6.53517,1.9286,3456,1,4,75,75,2019,standalone
Adventure Games: The Dungeon,267813,7,0,1,0,0,2,6.90935,1.6623,2026,1,4,90,90,2019,standalone
Adventure Games: The Volcanic Island,284082,6,1,0,0,0,3,5.884,2.05,9901,1,4,75,75,2019,standalone
The Adventures of Robin Hood,326494,7,1,0,0,0,1,7.42036,1.8287,783,2,4,60,60,2021,standalone
Aeon Trespass: Odyssey,242705,0,0,0,0,0,3,8.98797,4.7476,587,1,4,0,90,2022,standalone
Aeon's End,191189,8,1,0,0,0,1,7.86343,2.8003,108,1,4,60,60,2016,standalone
Aeon's End: The Nameless,212139,0,0,0,0,0,1,8.34461,2.84,0,1,4,60,60,2017,expansion
Aeon's End: The New Age,270633,0,0,0,0,0,3,8.48266,2.9103,305,1,4,60,60,2019,standalone
Aeon's End: War Eternal,218417,0,1,0,0,0,1,8.2265,2.9249,149,1,4,60,60,2017,standalone
Age of Wonders: Planetfall,353848,0,0,0,1,0,3,7.0319,2.125,6366,2,6,40,20,2022,standalone
Agents of SMERSH,111105,0,0,0,1,0,3,6.93034,2.4848,2663,1,4,90,90,2012,standalone
Agricola: Family Edition,205418,0,0,1,0,0,1,7.03438,2.3978,1673,1,4,45,45,2016,standalone
Alhambra,6249,5,0,0,0,0,3,7.03564,2.0974,611,2,6,60,45,2003,standalone
ALIEN: Fate of the Nostromo,332321,0,0,0,0,1,3,7.0522,1.9391,1824,1,5,60,45,2021,standalone
Amerigo,137408,0,0,1,0,0,1,7.43309,2.9719,605,2,4,90,90,2013,standalone
Android,39339,7,0,1,1,0,4,6.74061,3.9621,2005,3,5,180,180,2008,standalone
Android: Infiltration,118063,6,1,0,0,0,1,6.50277,2.1008,2671,2,6,45,30,2012,standalone
Andromeda's Edge,358661,0,0,0,1,0,3,8.2527,3.745,179,2,4,160,80,2024,standalone
Apples to Apples,74,3,0,1,0,0,1,5.73927,1.1527,8182,4,10,30,20,1999,standalone
The Apprentice Game,16530,0,0,1,0,0,3,4.11395,1.1667,29156,2,2,60,60,2005,standalone
Arkham Horror (Third Edition),257499,8,0,0,0,1,4,7.67632,3.3733,355,1,6,180,120,2018,standalone
Arkham Horror: The Card Game,205637,10,1,0,0,0,1,8.11935,3.5658,32,1,2,120,60,2016,standalone
Arkham Horror: The Card Game,463126,0,0,0,0,0,3,8.94433,3.871,2856,1,4,120,60,2026,standalone
Arkham Horror: The Card Game – Blood on the Altar: Mythos Pack,216556,0,1,0,0,0,1,8.22057,3.5385,0,1,4,120,60,2017,expansion
Arkham Horror: The Card Game – Carnevale of Horrors: Scenario Pack,215510,0,0,0,1,1,3,8.19433,3.5882,0,1,4,120,60,2016,expansion
Arkham Horror: The Card Game – Edge of the Earth: Campaign Expansion,340035,0,1,0,0,0,1,8.57531,3.8,0,1,4,180,45,2021,expansion
Arkham Horror: The Card Game – Edge of the Earth: Investigator Expansion,340036,0,1,0,0,0,3,8.65678,3.7692,0,1,4,180,45,2021,expansion
Arkham Horror: The Card Game – Film Fatale: Scenario Pack,448054,0,1,0,0,0,3,8.36593,4.25,0,1,4,120,60,2025,expansion
Arkham Horror: The Card Game – Harvey Walters: Investigator Starter Deck,305512,0,1,0,0,0,3,8.3638,3.5556,0,1,2,120,60,2020,expansion
Arkham Horror: The Card Game – Jacqueline Fine: Investigator Starter Deck,305517,0,1,0,0,0,3,8.5724,3.5556,0,1,2,120,60,2020,expansion
Arkham Horror: The Card Game – Lost in Time and Space: Mythos Pack,224363,0,1,0,0,0,1,8.27037,3.4167,0,1,4,120,60,2017,expansion
Arkham Horror: The Card Game – Murder at the Excelsior Hotel: Scenario Pack,284354,10,1,0,0,0,3,8.54618,3.5263,0,1,2,120,60,2019,expansion
Arkham Horror: The Card Game – Nathaniel Cho: Investigator Starter Deck,305509,0,1,0,0,0,3,8.50668,3.375,0,1,2,120,60,2020,expansion
Arkham Horror: The Card Game – Return to the Night of the Zealot,244145,0,1,0,0,0,1,8.01252,3.8,0,1,2,120,60,2018,expansion
Arkham Horror: The Card Game – Stella Clark: Investigator Starter Deck,305518,0,1,0,0,0,3,8.55161,3.5,0,1,2,120,60,2020,expansion
Arkham Horror: The Card Game – The Blob That Ate Everything: Scenario Pack,280714,0,0,0,1,1,1,8.46758,3.7273,0,1,4,120,60,2019,expansion
Arkham Horror: The Card Game – The Circle Undone: Campaign Expansion,382510,0,0,0,1,1,3,8.4478,3.8333,0,1,4,180,45,2023,expansion
Arkham Horror: The Card Game – The Circle Undone: Investigator Expansion,382509,0,0,0,0,1,4,8.79366,3.75,0,1,4,180,45,2023,expansion
Arkham Horror: The Card Game – The Drowned City: Campaign Expansion,428879,0,1,0,0,0,1,7.84304,3.8571,0,1,4,180,45,2025,expansion
Arkham Horror: The Card Game – The Drowned City: Investigator Expansion,428880,0,1,0,0,0,3,8.79832,3.6667,0,1,4,180,45,2025,expansion
Arkham Horror: The Card Game – The Dunwich Legacy: Expansion,208545,10,1,0,0,0,3,8.41262,3.4603,0,1,2,120,60,2017,expansion
Arkham Horror: The Card Game – The Essex County Express: Mythos Pack,212734,0,1,0,0,0,1,8.32574,3.7419,0,1,4,120,60,2017,expansion
Arkham Horror: The Card Game – The Feast of Hemlock Vale: Campaign Expansion,398893,0,0,0,1,0,1,8.75587,4.1,0,1,4,90,90,2024,expansion
Arkham Horror: The Card Game – The Forgotten Age: Campaign Expansion,377055,0,1,0,0,0,1,8.55783,3.9091,0,1,4,180,45,2023,expansion
Arkham Horror: The Card Game – The Midwinter Gala: Scenario Pack,424487,0,0,0,1,1,2,8.23212,3.5,0,1,4,120,60,2024,expansion
Arkham Horror: The Card Game – The Miskatonic Museum: Mythos Pack,210025,0,1,0,0,0,1,8.05233,3.3667,0,1,4,120,60,2017,expansion
Arkham Horror: The Card Game – The Path to Carcosa: Campaign Expansion,358212,0,1,0,0,0,1,8.9453,3.6875,0,1,4,180,45,2022,expansion
Arkham Horror: The Card Game – The Path to Carcosa: Investigator Expansion,358213,0,0,0,0,1,1,8.80591,3.8333,0,1,4,0,0,2022,expansion
Arkham Horror: The Card Game – Undimensioned and Unseen: Mythos Pack,219054,0,1,0,0,0,1,7.90668,3.6923,0,1,4,120,60,2017,expansion
Arkham Horror: The Card Game – Where Doom Awaits: Mythos Pack,221725,0,1,0,0,0,1,8.08081,3.6,0,1,2,120,60,2017,expansion
Arkham Horror: The Card Game – Winifred Habbamock: Investigator Starter Deck,305513,0,1,0,0,0,3,8.46975,3.5,0,1,2,120,60,2020,expansion
Arydia: The Paths We Dare Tread,219650,0,0,0,1,0,3,9.00991,3.3028,405,1,4,240,60,2025,standalone
Atlantis Rising (Second Edition),248490,0,0,0,0,1,3,7.47966,2.4643,682,1,7,120,60,2019,standalone
Awkward Guests: The Walton Case,188866,0,1,0,0,0,3,7.53303,2.3165,398,1,8,75,45,2016,standalone
The Awkward Storyteller,268588,0,1,1,0,0,3,5.21707,1,27003,4,11,0,0,2017,standalone
Azul,230802,6.5,1,0,0,0,1,7.71542,1.7745,98,2,4,45,30,2017,standalone
Backstories: The Emerald Wedding Anniversary,425610,0,0,0,1,0,3,7.4428,1,9988,1,6,60,60,2024,standalone
Balloon Cup,5716,0,1,0,0,0,1,6.67865,1.46,1724,2,2,30,30,2003,standalone
BANG! The Dice Game,143741,7,1,0,0,0,3,6.87635,1.2789,875,3,8,15,15,2013,standalone
Batman: Everybody Lies,355276,0,1,0,0,0,2,6.48366,1.7778,8447,2,4,180,120,2022,standalone
Battle of the Sexes,10462,3,0,1,0,0,1,3.55488,1.1667,29634,4,16,60,60,1986,standalone
Battle Sheep,54137,5,0,1,0,0,1,6.59715,1.4555,2034,2,4,15,15,2010,standalone
BattleLore: Second Edition,146439,0,0,0,1,0,3,7.66867,2.7307,453,2,2,90,45,2013,standalone
Battlestar Galactica: The Board Game,37111,10,1,0,0,0,1,7.73109,3.2513,126,3,6,180,120,2008,standalone
Battlestar Galactica: The Board Game – Daybreak Expansion,141648,0,0,0,0,0,4,8.26711,3.64,0,3,7,180,120,2013,expansion
Battlestar Galactica: The Board Game – Daybreak Expansion,141648,0,0,0,0,0,3,8.26711,3.64,0,3,7,180,120,2013,expansion
Battlestar Galactica: The Board Game – Daybreak Expansion,141648,0,0,0,0,0,3,8.26711,3.64,0,3,7,180,120,2013,expansion
Battlestar Galactica: The Board Game – Exodus Expansion,85905,0,0,0,0,1,3,8.11799,3.5556,0,3,6,180,120,2010,expansion
Battlestar Galactica: The Board Game – Pegasus Expansion,43539,0,1,0,0,0,3,7.88029,3.3131,0,3,7,180,120,2009,expansion
Betrayal at House on the Hill,10547,6,0,1,0,0,3,7.00835,2.3986,768,3,6,60,60,2004,standalone
Betrayal at House on the Hill: 3rd Edition,358504,7,0,0,0,0,3,7.29409,2.3761,1279,3,6,60,60,2022,standalone
Beyond Baker Street,168681,0,0,0,1,0,3,6.80031,2.1667,2451,2,4,30,30,2016,standalone
Biblios,34219,3,0,1,0,0,1,7.19428,1.6917,517,2,4,30,30,2007,standalone
Black Orchestra,156858,0,0,0,0,1,5,7.49143,2.4186,534,1,5,90,90,2016,standalone
Blackbrim: 1876,335953,8,0,1,0,0,3,7.39917,2.5,14559,1,6,240,120,2020,standalone
Blood on the Clocktower,240980,7,0,0,0,0,3,8.35122,3.0365,68,6,21,120,30,2022,standalone
Body of Evidence: Best Served Cold,400510,5,0,1,0,0,3,7.09524,2.5,0,1,4,180,120,2023,standalone
Boggle,1293,4,1,0,0,0,1,6.25379,1.4568,2970,1,8,10,10,1972,standalone
Boogeyman: The Board Game,324342,0,1,0,0,0,3,6.35612,2,12099,1,6,60,60,2022,standalone
Boss Monster: Collector Box,194669,4,0,1,0,0,3,6.99647,1.4,0,2,4,0,20,2015,expansion
Box One,323255,0,0,0,0,0,3,7.67618,2,1899,1,1,240,180,2020,standalone
Bullet♥︎,307305,0,0,0,0,1,5,7.60644,2.1565,672,1,4,20,10,2021,standalone
Bureau of Investigation: Investigations in Arkham & Elsewhere,353905,0,1,0,0,0,3,7.20883,2.5652,3947,1,8,240,120,2022,standalone
Burgle Bros.,172081,6,0,0,0,0,2,7.40282,2.3144,416,1,4,90,45,2015,standalone
Burn Rate,3341,6,1,0,0,0,1,6.09413,1.5763,8756,2,4,45,45,2002,standalone
Call to Adventure,238992,7,1,0,0,0,4,7.04977,2.0059,1112,1,4,60,30,2019,standalone
Camel Up,153938,5,1,1,0,0,1,7.03058,1.5015,643,2,8,30,20,2014,standalone
Camel Up (Second Edition),260605,5,0,0,0,0,3,7.53891,1.5116,267,3,8,45,30,2018,standalone
Can't Stop,41,6.5,0,0,0,0,3,6.94566,1.1432,764,2,4,30,30,1980,standalone
Cantaloop: Book 1 – Breaking into Prison,325555,7,1,0,0,0,3,7.36996,2.0698,2068,1,2,720,300,2020,standalone
The Captain Is Dead,159503,0,0,0,0,0,3,7.05017,2.398,1596,2,7,90,60,2014,standalone
The Captain Is Dead: Lockdown,208804,0,1,0,0,0,3,6.56038,2.8333,9055,1,7,120,90,2017,standalone
Captain Sonar,171131,6,0,0,0,0,3,7.49843,2.2055,245,2,8,60,45,2016,standalone
Carcassonne,822,5,0,1,0,0,1,7.41633,1.885,238,2,5,45,30,2000,standalone
Carcassonne: The Castle,7717,5,0,1,0,0,1,7.10428,1.9852,853,2,2,45,30,2003,standalone
Cartographers,263918,0,1,0,0,0,3,7.5544,1.8891,182,1,100,45,30,2019,standalone
Cascadia,295947,0,1,0,0,0,3,7.8902,1.8424,60,1,4,45,30,2021,standalone
Castle Panic,43443,7,1,1,0,0,3,6.6536,1.66,1406,1,6,60,30,2009,standalone
The Castles of Burgundy,84876,8,1,0,0,0,3,8.16057,2.9708,15,2,4,90,30,2011,standalone
Castles of Mad King Ludwig,155426,0,1,0,0,0,1,7.49879,2.6461,234,1,4,90,90,2014,standalone
Castles of Mad King Ludwig: Secrets,174296,0,1,0,0,0,3,7.29888,2.7174,0,1,4,90,45,2015,expansion
Catan,13,4,1,1,0,0,1,7.09093,2.2825,615,3,4,120,60,1995,standalone
Catan: 5-6 Player Expansion,2807,0,0,0,0,0,3,6.98036,2.3105,0,5,6,120,120,1996,expansion
Catan: Cities & Knights,926,0,0,1,0,0,3,7.45243,2.8964,0,3,4,150,90,1998,expansion
Catan: Seafarers,325,0,0,1,0,0,3,7.16456,2.3752,0,3,4,90,90,1997,expansion
Caverna: Cave vs Cave,220520,6,1,1,0,0,3,7.07538,2.5594,947,1,2,40,20,2017,standalone
Century: Spice Road,209685,8,1,0,0,0,1,7.29007,1.7986,385,2,5,45,30,2017,standalone
Charterstone,197376,7,1,0,0,0,1,7.1751,2.8571,637,1,6,75,45,2017,standalone
Chess,171,0,1,1,0,0,1,7.23786,3.6451,461,2,2,0,0,1475,standalone
Chez Geek,553,4,0,1,0,0,1,5.7003,1.4153,10754,2,5,60,60,1999,standalone
Chinatown,47,7,1,0,0,0,1,7.44358,2.2241,377,3,5,60,60,1999,standalone
Choose Your Own Adventure: House of Danger,251420,0,1,0,0,0,1,6.2117,1.1935,3993,1,99,60,60,2018,standalone
Chronicles of Crime,239188,4,0,1,0,0,2,7.53297,2.0616,344,1,4,90,60,2018,standalone
Chronicles of Crime: 1900,302098,0,1,0,0,0,3,7.87888,1.9111,1243,1,4,90,60,2021,standalone
CIA: Collect It All,251642,2,0,1,0,0,3,4.84057,1.2,29146,2,5,30,30,2018,standalone
Citadels,478,7.5,1,0,0,0,1,7.05353,2.0466,588,2,8,60,20,2000,standalone
City of Remnants,133528,0,0,1,0,0,3,6.77517,3.1299,3643,2,4,90,90,2013,standalone
Clue,1294,6,1,0,0,0,1,5.68539,1.6416,11031,2,6,45,45,1949,standalone
Clue: Treachery at Tudor Mansion,369483,4,0,1,0,0,1,6.30894,1.4,9260,1,6,90,90,2022,standalone
Codenames,178900,6,1,0,0,0,1,7.52494,1.2553,162,2,8,15,15,2015,standalone
Codenames: Disney – Family Edition,220775,6,0,1,0,0,1,6.58254,1.2286,2550,2,8,15,15,2017,standalone
Coloretto,5782,6,1,1,0,0,1,6.98115,1.2703,731,2,5,30,30,2003,standalone
Colt Express,158899,0,0,1,0,0,1,7.09633,1.8359,556,2,6,40,40,2014,standalone
Comic Book Killer,419420,0,1,0,0,0,3,6.33333,0,0,1,4,180,90,2024,standalone
Concordia,124361,7,0,0,0,0,3,8.07697,2.9881,29,2,5,100,100,2013,standalone
Cooper Island,269511,0,0,1,0,0,3,7.54942,4.16,723,1,4,120,60,2019,standalone
Cosmic Encounter,39463,5,0,1,0,0,1,7.50742,2.5814,230,3,5,120,60,2008,standalone
Coup,131357,7,1,0,0,0,1,6.97511,1.4152,713,2,6,15,15,2012,standalone
Coup: Bureaucrat Promo Card,374732,0,1,0,0,0,3,7.17917,1,0,2,10,20,10,2017,expansion
Coup: Jester Promo Card,186524,0,1,0,0,0,1,7.32949,1,0,2,10,20,10,2015,expansion
Coup: Rebellion G54,148943,5,0,1,0,0,3,6.98238,1.9529,1881,3,6,15,15,2014,standalone
