objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"221B Baker Street: The Master Detective Game","1275","3","1","3","0","0","0","0","0","1","0","0","1","","Sold at Zulu Bazaar 10/4/2025 for $0","","","","3493795","5.7197","6.00688","1.7885","5911","8921","thing","221B Baker Street: The Master Detective Game","2","6","90","90","90","1975","2,3,4,5,6","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Marvel","253618","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","135987273","6.1867","6.73206","1.1375","2279","7588","thing","5-Minute Marvel","2","5","5","5","5","2018","2,3,4,5","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Mystery","294514","4","0","0","0","0","0","0","0","1","0","0","1","","Sold at Uncles's - $7 Credit","","","","101288665","6.24227","6.96446","1.1633","2061","6688","thing","5-Minute Mystery","1","6","30","30","5","2020","1,2,3,4","3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"50 Clues: Escape the Blast Zone","369337","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","126580561","5.50004","5.50741","1.5","25697","188","thing","50 Clues: Escape the Blast Zone","1","5","20","20","20","2022","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"51st State: Master Set","192458","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","83784011","7.01675","7.53537","2.893","484","9905","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders","68448","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","47622901","7.5489","7.66267","2.3144","117","155736","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Dice","446231","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","143518938","5.86266","6.41892","2.1212","4163","2333","thing","7 Wonders Dice","2","7","30","30","25","2025","2,3,4,5,6,7","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","7","9","0","1","0","0","0","0","0","0","0","1","","","","","","38410030","7.95247","8.07726","2.2273","24","183908","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Citadel","286063","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","68775409","6.80889","8.32342","2.9529","742","10262","thing","The 7th Citadel","1","4","1000","1000","5","2024","1,2","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent","180263","7","2","0","1","0","0","0","0","0","0","0","2","","","","","","59521270","7.41885","7.73032","2.8969","163","38806","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent: Classic Edition","283317","7","1","0","0","0","0","0","0","1","0","0","1","","Sold for $35","","","","70198122","6.33232","7.43805","3.1846","1761","4659","thing","The 7th Continent: Classic Edition","1","4","1000","1000","5","2019","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent: What Goes Up, Must Come Down","236206","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","71180538","6.65068","8.23161","3.0526","0","14891","thing","The 7th Continent: What Goes Up, Must Come Down","1","4","1000","1000","5","2019","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
